agent;num_fish;fish_id;scan_id;total_points;cell_type;hit_points;fract_estim;reading
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;ov;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;op1;4;0.769230769;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;op2;51;9.807692308;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;oca;28;5.384615385;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;vit1;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;vit2;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;vit3;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;vit4;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;och;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;oh;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;POF;2;0.384615385;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;tc;74;14.23076923;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;pg;111;21.34615385;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;oaA;6;1.153846154;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;oaB;0;0;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;L;4;0.769230769;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;cs;8;1.538461538;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;ei;188;36.15384615;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;v;6;1.153846154;1
A;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;520;i;38;7.307692308;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;ov;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;op1;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;op2;46;8.914728682;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;oca;33;6.395348837;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;vit1;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;vit2;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;vit3;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;vit4;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;och;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;oh;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;POF;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;tc;143;27.71317829;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;pg;96;18.60465116;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;oaA;4;0.775193798;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;oaB;0;0;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;L;3;0.581395349;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;cs;11;2.131782946;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;ei;134;25.96899225;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;v;7;1.356589147;1
B;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;516;i;39;7.558139535;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;ov;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;op1;1;0.191204589;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;op2;40;7.648183556;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;oca;31;5.927342256;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;vit1;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;vit2;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;vit3;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;vit4;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;och;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;oh;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;POF;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;tc;93;17.78202677;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;pg;114;21.79732314;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;oaA;4;0.764818356;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;oaB;0;0;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;L;5;0.956022945;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;cs;9;1.7208413;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;ei;184;35.18164436;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;v;5;0.956022945;1
C;59;110618 7D 27 206 F2A;P 110618 7D 27 206 F2A V2;523;i;37;7.07456979;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;ov;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;op1;7;1.37254902;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;op2;18;3.529411765;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;oca;10;1.960784314;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;vit1;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;vit2;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;vit3;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;vit4;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;och;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;oh;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;POF;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;tc;44;8.62745098;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;pg;97;19.01960784;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;oaA;0;0;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;oaB;98;19.21568627;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;L;27;5.294117647;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;cs;4;0.784313725;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;ei;191;37.45098039;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;v;4;0.784313725;1
A;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;i;10;1.960784314;1
B;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;ov;0;0;1
B;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;op1;3;0.588235294;1
B;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;op2;20;3.921568627;1
B;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;oca;9;1.764705882;1
B;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;vit1;0;0;1
B;60;110618 7D 27 215 F4;P 110618 7D 27 215 F4 V2;510;vit2;0;0;1
