num_fish;fish_id;gon_pos;date;L_fish;W_fish;mat_estim;age;W_gon;Kurtosis;Skewness;gon_area;L_gon;width_gon;width_mid_L_gon;mean_col_index;std_dev;modal
25;210117 7D 23 130 F1;V;21/01/2017;23;130;1;3;NA;-1.086345;-0.764834;138.3189877;33.990105;10.349226;3.449742;39.04344;130.248;159.72408
29;220117 7D 23 116 F1;V;22/01/2017;23;116;1;4;NA;-1.736063;-0.140811;126.7362475;32.268285;8.718885;4.289355;355.12128;133.71624;180.702
37;230117 7D 19 72 F1;V;23/01/2017;19;72;1;2;NA;0.449743;-0.992476;76.69810703;17.343252;8.76906;3.962316;358.76448;67.39668;40.3308
39;230117 7D 21 80 F1;V;23/01/2017;21;80;1;3;NA;-1.20234;-0.228777;139.5364794;31.406416;12.259704;4.87484;331.68456;67.52412;43.3242
40;230117 7D 22 88 F1;V;23/01/2017;22;88;1;3;NA;8.654357;3.063588;130.5697832;25.876602;13.154454;4.570092;243.08316;63.8478;228.11148
44;071217 7D 30 337 F2B;D;07/12/2017;30;337;2B;3;34.57;11.876455;3.595047;2927.094635;124.764305;46.716565;24.810215;222.89508;70.72884;201.70368
44;071217 7D 30 337 F2B;V;07/12/2017;30;337;2B;3;41.29;32.612522;5.81509;3592.722107;123.235955;60.93022;28.376365;207.3636;51.7536;197.50824
46;071217 7D 34 406 F2B;V;07/12/2017;34;406;2B;4;24.9;18.666726;4.410295;2380.613673;113.439176;52.405448;17.801504;214.53048;62.17884;194.71644
46;071217 7D 34 406 F2B;D;07/12/2017;34;406;2B;4;28.72;13.974803;3.959588;2614.569719;118.0712;55.811348;18.709744;214.72488;73.67148;197.54748
47;181217 7D 21 104 F3A;D;18/12/2017;21;104;3A;1;10.96;1.211592;1.764695;1358.829783;88.90567;33.73888;12.90016;250.52544;117.17424;197.5464
47;181217 7D 21 104 F3A;V;18/12/2017;21;104;3A;1;6.8;6.826798;2.921016;1132.99138;78.51732;35.81655;9.55108;227.30652;85.06656;201.71448
49;181217 7D 25 161 F3A;V;18/12/2017;25;161;3A;2;17.42;3.881501;2.343331;2309.415304;112.8413;45.55535;19.3633;237.59028;90.14832;201.7242
49;181217 7D 25 161 F3A;D;18/12/2017;25;161;3A;2;15.27;8.406125;3.173134;1884.163443;100.2764;38.0589;17.9672;227.25972;77.81652;201.71448
50;150318 7D 29 267 F2A;V;15/03/2018;29;267;2A;3;1.919;3.6425;2.263943;595.5262722;87.309978;18.13056;8.017107;244.37304;92.18484;201.65724
